,rater,group,nativeness,probability
73,5132,english_uk,mid,0.2450657894736842
74,5136,english_uk,mid,0.26973684210526316
75,5137,english_uk,mid,0.22039473684210525
76,5138,german,mid,0.34539473684210525
77,5139,german,mid,0.30098684210526316
78,5143,german,mid,0.2746710526315789
79,5144,german,mid,0.28125
80,5145,french,mid,0.26973684210526316
81,5146,french,mid,0.29276315789473684
82,5147,french,mid,0.3059210526315789
83,5148,french,mid,0.24671052631578946
84,5151,german,mid,0.24342105263157895
85,5154,german,mid,0.2746710526315789
86,5156,german,mid,0.27631578947368424
87,5158,english_uk,mid,0.3026315789473684
88,5160,english_uk,mid,0.24671052631578946
89,5161,english_uk,mid,0.26644736842105265
90,5163,german,mid,0.29769736842105265
91,5164,french,mid,0.29276315789473684
92,5166,french,mid,0.3026315789473684
93,5167,french,mid,0.2565789473684211
94,5169,french,mid,0.26644736842105265
95,5170,french,mid,0.30098684210526316
96,5173,german,mid,0.3355263157894737
97,5174,german,mid,0.26151315789473684
98,5176,german,mid,0.22861842105263158
99,5177,german,mid,0.2730263157894737
100,5178,german,mid,0.32401315789473684
101,5179,german,mid,0.2944078947368421
102,5180,english_uk,mid,0.25164473684210525
103,5184,english_uk,mid,0.18092105263157895
104,5185,english_uk,mid,0.2779605263157895
105,5186,english_uk,mid,0.20394736842105263
106,5189,french,mid,0.3536184210526316
107,5191,french,mid,0.2878289473684211
108,5192,french,mid,0.23355263157894737
109,5223,english_uk,mid,0.23848684210526316
110,5224,english_uk,mid,0.20065789473684212
111,5226,english_uk,mid,0.2565789473684211
112,5227,english_uk,mid,0.26973684210526316
113,5228,english_uk,mid,0.2450657894736842
114,5229,english_uk,mid,0.36348684210526316
115,5230,english_uk,mid,0.2598684210526316
116,5233,french,mid,0.3371710526315789
117,5237,french,mid,0.24835526315789475
118,5242,german,mid,0.2894736842105263
119,5244,french,mid,0.28125
120,5100,french,hi,0.23684210526315788
121,5101,french,hi,0.3059210526315789
122,5102,french,hi,0.22039473684210525
123,5104,english_uk,hi,0.375
124,5105,english_uk,hi,0.2565789473684211
125,5106,german,hi,0.2993421052631579
126,5112,german,hi,0.17434210526315788
127,5122,french,hi,0.22532894736842105
128,5123,german,hi,0.23519736842105263
129,5124,german,hi,0.25493421052631576
130,5125,german,hi,0.2582236842105263
131,5130,french,hi,0.25493421052631576
132,5131,english_uk,hi,0.22861842105263158
133,5132,english_uk,hi,0.3207236842105263
134,5136,english_uk,hi,0.3256578947368421
135,5137,english_uk,hi,0.3815789473684211
136,5138,german,hi,0.22697368421052633
137,5139,german,hi,0.16940789473684212
138,5143,german,hi,0.3092105263157895
139,5144,german,hi,0.2450657894736842
140,5145,french,hi,0.2894736842105263
141,5146,french,hi,0.2582236842105263
142,5147,french,hi,0.3618421052631579
143,5148,french,hi,0.2746710526315789
144,5151,german,hi,0.19901315789473684
145,5154,german,hi,0.2532894736842105
146,5156,german,hi,0.2845394736842105
147,5158,english_uk,hi,0.2944078947368421
148,5160,english_uk,hi,0.24013157894736842
149,5161,english_uk,hi,0.27960526315789475
150,5163,german,hi,0.23684210526315788
151,5164,french,hi,0.27960526315789475
152,5166,french,hi,0.24342105263157895
153,5167,french,hi,0.22697368421052633
154,5169,french,hi,0.21710526315789475
155,5170,french,hi,0.28618421052631576
156,5173,german,hi,0.30098684210526316
157,5174,german,hi,0.28618421052631576
158,5176,german,hi,0.38651315789473684
159,5177,german,hi,0.2532894736842105
160,5178,german,hi,0.2845394736842105
161,5179,german,hi,0.25
162,5180,english_uk,hi,0.31414473684210525
163,5184,english_uk,hi,0.3881578947368421
164,5185,english_uk,hi,0.3092105263157895
165,5186,english_uk,hi,0.4309210526315789
166,5189,french,hi,0.28289473684210525
167,5191,french,hi,0.23848684210526316
168,5192,french,hi,0.2746710526315789
169,5223,english_uk,hi,0.40789473684210525
170,5224,english_uk,hi,0.26151315789473684
171,5226,english_uk,hi,0.2713815789473684
172,5227,english_uk,hi,0.3207236842105263
173,5228,english_uk,hi,0.3404605263157895
174,5229,english_uk,hi,0.3338815789473684
175,5230,english_uk,hi,0.3404605263157895
176,5233,french,hi,0.26973684210526316
177,5237,french,hi,0.2532894736842105
178,5242,german,hi,0.3684210526315789
179,5244,french,hi,0.3059210526315789
